-1	139	167	83	160	97	132	62	146	188	153	174	181	
48	-1	76	90	272	174	188	132	244	202	216	146	34	
105	161	-1	133	231	189	245	35	91	175	147	259	273	
21	231	203	-1	245	147	273	105	77	161	175	189	217	
91	63	21	35	-1	105	77	49	175	147	203	133	189	
36	22	64	50	260	-1	204	78	134	218	162	232	246	
233	107	51	65	219	93	-1	177	163	261	23	37	149	
126	28	140	238	154	14	42	-1	182	196	210	224	168	
70	168	28	224	14	42	98	56	-1	266	252	210	196	
28	14	56	42	70	84	168	98	154	-1	126	182	224	
56	42	14	28	140	224	196	70	84	238	-1	266	98	
42	56	70	14	196	126	154	84	140	252	168	-1	28	
17	157	45	59	87	73	213	255	129	143	185	241	-1	
