-1	112	0	210	126	140	168	28	154	42	266	182	196	252	238	
14	-1	224	252	238	182	98	196	70	168	28	210	84	0	56	
98	42	-1	182	266	126	112	252	14	140	196	154	238	210	168	
57	127	71	-1	113	197	85	155	267	99	43	141	169	239	225	
226	156	86	30	-1	212	44	72	198	58	100	170	16	142	184	
72	268	58	16	2	-1	254	240	86	156	170	226	100	30	114	
102	228	242	186	130	144	-1	172	18	200	74	158	32	214	270	
116	4	18	256	270	46	60	-1	228	186	32	200	214	88	102	
6	202	76	48	62	216	90	160	-1	146	118	34	104	174	188	
175	259	63	21	161	91	49	77	245	-1	217	119	231	105	35	
23	163	51	107	37	65	177	93	233	135	-1	149	261	9	79	
10	24	38	52	66	80	94	108	164	206	248	-1	255	262	220	
94	220	10	38	80	24	248	66	178	150	192	136	-1	164	108	
67	123	81	137	25	95	39	151	109	235	221	193	53	-1	179	
83	139	27	162	251	41	69	265	97	195	153	125	209	13	-1	
