-1	125	237	97	83	209	167	139	41	181	55	223	111	195	13	
248	-1	24	38	94	192	150	52	108	66	80	164	178	136	262	
160	202	-1	20	34	48	104	230	272	258	188	174	132	6	244	
33	187	215	-1	131	173	89	75	103	271	145	5	47	243	201	
268	2	100	254	-1	198	16	226	170	212	184	58	240	156	30	
27	13	111	55	41	-1	83	69	223	251	97	125	139	167	153	
69	223	41	27	125	181	-1	97	55	111	139	251	195	209	237	
62	132	90	258	20	202	160	-1	34	104	244	118	272	174	146	
118	20	146	230	48	132	202	188	-1	174	90	62	244	160	258	
22	232	57	204	8	120	36	218	92	-1	134	148	162	78	1	
199	171	3	17	87	269	31	101	241	73	-1	129	213	45	157	
145	89	75	159	229	19	187	47	215	243	257	-1	103	201	271	
185	31	199	227	143	73	269	157	129	87	59	171	-1	3	17	
130	270	186	60	74	102	116	18	88	144	228	32	256	-1	214	
174	160	62	118	104	90	20	6	76	188	34	132	230	48	-1	
