-1	177	247	65	205	163	79	23	135	37	191	9	149	233	219	
51	-1	93	261	233	65	163	247	107	205	219	23	79	191	37	
107	9	-1	233	79	23	149	65	51	191	177	219	37	205	135	
240	184	170	-1	268	198	135	226	23	51	149	79	9	37	212	
94	52	164	192	-1	262	10	38	248	220	24	108	136	178	66	
81	221	235	95	123	-1	207	53	39	11	137	193	179	109	249	
4	32	46	74	88	102	-1	130	158	109	172	53	193	67	186	
124	82	180	110	194	152	222	-1	264	96	236	138	26	166	208	
26	194	124	222	82	166	96	68	-1	236	208	152	110	54	12	
229	19	33	166	47	75	26	173	89	-1	187	201	68	250	103	
13	41	111	27	167	69	83	55	139	125	-1	181	97	195	153	
169	225	99	15	29	57	239	253	43	85	267	-1	127	113	1	
43	211	225	155	15	85	57	102	253	183	1	197	-1	239	267	
32	46	60	102	74	228	200	88	186	130	256	214	172	-1	158	
139	111	55	83	237	27	125	41	181	195	223	69	167	97	-1	
