-1	71	253	267	99	15	211	183	85	239	29	57	43	225	113	
2	-1	58	44	86	128	142	226	16	156	170	198	30	254	240	
170	268	-1	226	142	240	44	16	198	30	86	156	184	2	128	
158	214	74	-1	242	186	4	200	32	60	18	88	102	130	116	
19	187	257	173	-1	33	201	159	5	75	47	103	271	117	131	
258	6	20	97	111	-1	181	195	62	90	230	76	244	48	167	
34	48	132	146	62	104	-1	76	118	160	174	188	230	258	244	
10	24	94	38	52	66	164	-1	101	129	3	213	171	269	234	
24	80	136	150	66	234	220	206	-1	262	192	52	38	94	248	
95	39	235	137	165	207	81	249	109	-1	67	25	193	221	179	
109	53	25	221	137	81	263	179	11	151	-1	165	249	235	207	
194	12	40	180	236	222	68	152	124	264	96	-1	208	250	82	
166	222	12	236	82	152	26	110	180	54	124	138	-1	264	96	
153	181	209	13	195	139	55	83	167	125	41	111	69	-1	27	
200	102	214	256	228	270	88	32	74	46	60	172	158	186	-1	
