-1	129	31	73	59	3	199	143	255	269	17	185	45	241	
192	-1	220	150	164	178	101	206	136	248	31	59	73	262	
158	4	-1	270	144	88	256	130	74	228	102	18	242	186	
214	228	200	-1	242	256	186	46	32	60	172	102	88	130	
172	19	47	5	-1	75	159	33	187	89	131	229	215	271	
117	47	215	19	201	-1	145	173	159	187	229	131	33	103	
90	174	34	118	265	62	-1	76	230	244	48	216	20	6	
230	90	62	160	104	244	272	-1	20	216	6	118	188	146	
104	216	174	146	62	272	132	202	-1	118	244	90	6	48	
21	35	77	133	175	7	105	49	259	-1	203	273	147	161	
177	107	163	23	219	37	191	135	79	93	-1	261	233	149	
9	233	205	177	23	51	79	37	163	191	65	-1	107	93	
136	10	24	164	38	192	94	66	178	220	52	248	-1	80	
25	67	249	193	179	207	165	221	123	235	88	200	228	-1	
