-1	26	82	40	68	54	96	110	124	138	152	166	180	208	222	
133	-1	49	147	210	119	63	0	42	154	168	56	245	224	238	
0	196	-1	70	224	266	28	182	154	112	56	126	14	168	98	
197	85	253	-1	267	113	225	15	169	1	29	141	99	127	183	
253	15	141	57	-1	43	113	127	1	197	85	183	29	99	169	
240	30	86	212	156	-1	72	58	16	100	198	170	226	142	254	
17	129	213	45	241	185	-1	87	101	59	157	255	171	269	143	
173	201	33	117	47	131	229	-1	257	271	243	75	215	103	19	
216	160	230	20	132	90	34	62	-1	174	76	272	188	146	48	
35	77	203	91	119	-1	133	161	105	-1	217	259	21	231	147	
21	231	133	175	189	-1	91	147	203	49	-1	63	7	259	161	
50	176	218	204	22	36	106	8	120	190	246	-1	78	162	232	
92	36	176	232	162	50	260	43	57	85	106	148	-1	239	127	
78	106	22	50	36	218	176	190	246	64	120	92	134	-1	43	
8	22	190	106	78	176	218	92	260	246	36	134	64	204	-1	
