-1	27	55	153	69	41	181	83	125	97	139	167	195	
101	-1	255	227	73	199	59	87	157	129	241	185	31	
210	42	-1	168	28	14	70	266	98	224	182	140	154	
21	35	63	-1	77	161	147	91	175	189	133	203	217	
240	268	198	16	-1	212	44	142	226	184	100	128	254	
265	125	251	97	83	-1	55	237	195	139	167	153	27	
254	212	240	86	156	226	-1	198	142	170	30	16	268	
226	170	128	254	58	72	100	-1	184	16	156	30	44	
219	16	23	30	37	51	65	79	-1	44	58	72	93	
35	63	49	259	91	77	105	147	133	-1	175	161	203	
65	51	79	233	163	37	191	219	149	23	-1	93	107	
50	22	36	106	64	232	78	134	190	246	260	-1	176	
14	140	84	70	168	182	126	210	238	56	224	98	-1	
