-1	44	16	58	72	2	86	100	212	128	184	198	254	170	
114	-1	2	30	212	58	226	86	142	170	156	128	240	268	
142	72	-1	44	198	128	100	156	86	184	170	212	58	240	
156	184	226	-1	240	72	2	128	170	100	254	268	142	198	
226	16	30	86	-1	100	128	184	156	44	142	58	170	2	
90	174	62	202	20	-1	230	272	216	244	188	258	48	160	
147	161	175	217	7	35	-1	49	21	119	259	77	105	91	
162	22	36	8	92	134	246	-1	64	232	78	176	148	190	
8	50	246	106	78	148	134	204	-1	260	36	92	162	232	
218	36	92	22	148	78	204	106	190	-1	162	64	176	50	
23	93	107	191	51	9	65	219	177	247	-1	233	135	205	
37	9	51	163	205	107	191	261	219	135	149	-1	23	247	
12	40	152	54	68	194	166	82	96	110	264	180	-1	124	
27	97	111	13	251	41	181	55	69	209	83	153	223	-1	
