-1	230	76	146	216	160	90	20	62	34	118	174	188	104	
48	-1	104	62	76	272	20	174	244	216	202	188	132	160	
11	25	-1	123	67	53	151	109	263	137	81	165	235	207	
67	137	39	-1	95	165	11	151	179	81	53	109	249	193	
54	250	180	26	-1	222	40	82	110	152	166	138	194	236	
85	211	141	57	99	-1	1	169	239	267	197	43	127	155	
29	99	85	169	127	253	-1	15	57	211	113	155	141	183	
199	255	45	73	3	31	241	-1	87	227	185	213	269	143	
129	143	185	31	269	17	199	157	-1	45	3	227	213	255	
242	88	60	4	18	186	74	130	172	-1	256	144	102	200	
270	32	18	214	46	74	228	60	102	158	-1	88	242	172	
254	127	2	16	63	149	272	113	119	238	-1	-1	161	58	
42	14	7	21	35	49	63	56	77	28	70	98	-1	84	
15	36	29	43	8	22	50	64	92	113	246	134	148	-1	
