-1	244	258	132	216	188	146	34	174	76	160	90	62	
55	-1	69	97	125	139	167	27	195	181	153	237	251	
48	160	-1	34	76	20	62	272	90	146	104	132	174	
202	230	216	-1	188	76	160	48	244	20	272	174	104	
20	48	244	62	-1	202	174	230	272	104	146	160	34	
273	35	231	147	91	-1	105	161	63	133	175	49	259	
231	21	203	91	259	217	-1	210	133	49	189	273	245	
106	92	190	260	134	246	78	-1	148	176	22	64	204	
51	261	163	107	177	205	37	219	-1	191	233	23	79	
262	80	220	206	234	24	150	38	94	-1	164	108	66	
41	223	27	55	69	83	97	125	139	251	-1	181	195	
27	41	55	69	83	125	139	153	167	195	265	-1	223	
211	85	43	29	183	57	127	141	155	169	15	99	-1	
