-1	198	100	156	149	184	93	107	135	79	163	205	177	
128	-1	142	86	184	149	163	177	191	205	219	233	254	
20	34	-1	48	76	90	202	146	160	104	174	188	132	
34	20	216	-1	272	244	76	90	104	132	146	174	62	
48	62	230	202	-1	20	34	132	174	90	188	160	216	
66	52	164	24	108	-1	206	248	234	38	262	94	136	
27	41	69	223	195	83	-1	97	125	139	153	181	167	
41	27	55	265	69	125	237	-1	139	181	83	195	153	
55	69	27	41	97	153	251	223	-1	83	181	167	265	
15	57	43	29	155	99	211	253	197	-1	127	267	239	
72	100	240	254	30	142	268	170	16	226	-1	44	58	
142	156	86	100	226	30	58	16	240	72	212	-1	128	
87	45	269	227	101	73	17	31	143	171	157	199	-1	
