-1	27	41	83	125	97	55	69	153	223	251	237	265	
227	-1	45	143	31	157	59	73	199	101	129	17	171	
210	182	-1	154	238	14	98	266	168	126	140	28	252	
21	77	35	-1	105	133	147	175	217	189	203	231	245	
16	268	58	170	-1	212	198	100	86	142	156	254	226	
181	69	83	223	27	-1	41	125	139	237	195	153	167	
142	254	226	212	72	268	-1	156	128	30	184	170	240	
170	212	198	16	184	254	86	-1	226	44	240	58	30	
79	51	65	30	23	37	191	93	-1	16	44	72	107	
49	35	21	63	77	91	133	147	203	-1	231	259	217	
37	23	51	93	65	79	107	135	149	163	-1	177	191	
64	92	148	162	36	22	50	190	134	106	246	-1	78	
196	84	70	126	42	56	14	140	210	154	98	182	-1	
