-1	62	132	90	48	20	230	174	202	188	118	216	146	244	
160	-1	146	174	104	90	20	216	132	244	272	188	202	230	
53	67	-1	123	11	25	81	137	109	151	165	179	249	193	
25	81	39	-1	151	67	95	109	165	137	179	193	235	207	
110	40	96	54	-1	222	68	26	138	82	236	250	166	180	
85	155	267	141	15	-1	99	211	197	239	127	169	183	253	
43	85	155	15	1	29	-1	169	127	183	113	225	197	141	
101	73	31	45	87	3	255	-1	143	199	185	157	227	17	
73	255	17	31	59	45	241	269	-1	87	3	101	171	185	
32	46	228	4	158	74	60	130	214	-1	102	144	270	172	
256	32	46	74	172	228	214	60	158	18	-1	88	242	200	
58	16	63	113	119	272	161	238	-1	254	149	-1	2	127	
14	28	7	21	35	49	56	91	63	42	70	77	-1	84	
36	50	1	8	22	78	64	113	92	106	267	29	155	-1	
