-1	139	167	153	181	195	97	62	146	188	174	132	83	
48	-1	216	90	62	174	244	146	160	104	132	188	202	
105	77	-1	133	21	63	49	35	91	161	259	147	273	
77	259	245	-1	203	147	231	21	105	175	189	273	217	
91	231	189	35	-1	245	217	133	175	147	49	259	161	
36	22	232	50	106	-1	190	78	204	134	162	218	260	
23	37	205	65	79	93	-1	107	135	261	149	163	177	
126	70	140	238	28	14	168	-1	224	196	210	154	182	
70	42	28	168	14	140	238	56	-1	266	252	210	196	
28	14	224	56	84	70	182	98	154	-1	168	126	42	
56	196	70	14	126	98	84	42	182	238	-1	266	224	
42	56	14	182	70	28	224	84	98	252	140	-1	238	
17	31	59	73	269	87	101	255	129	143	157	171	-1	
