-1	132	258	188	216	146	160	90	230	104	76	202	34	
27	-1	41	55	69	83	125	97	139	223	167	181	195	
174	104	-1	20	160	132	202	230	244	146	188	90	272	
48	202	216	-1	230	34	146	244	272	90	132	160	174	
62	146	76	104	-1	188	48	272	90	244	34	174	132	
245	161	49	259	21	-1	175	217	203	273	231	63	77	
273	21	35	63	259	91	-1	210	217	189	245	77	231	
22	176	64	78	204	106	134	-1	148	162	50	190	260	
79	65	163	191	177	135	107	37	-1	23	261	233	51	
38	108	80	178	94	150	52	234	248	-1	206	262	66	
181	237	69	41	195	27	97	153	83	125	-1	139	251	
55	251	27	69	83	125	153	41	97	167	223	-1	237	
99	267	169	29	43	141	85	127	155	183	57	15	-1	
