-1	237	55	125	41	27	181	139	251	167	195	153	265	
31	-1	87	157	45	241	185	143	101	73	171	199	269	
224	14	-1	252	98	210	70	154	126	140	182	238	196	
63	91	133	-1	21	35	161	245	175	203	217	147	259	
212	226	170	86	-1	72	240	254	198	268	142	30	16	
97	41	83	139	181	-1	153	265	167	195	237	125	223	
16	58	268	44	128	254	-1	198	226	30	86	170	212	
72	212	30	184	58	16	100	-1	86	128	226	44	240	
79	23	37	16	51	65	93	149	-1	44	58	72	107	
35	147	21	105	77	49	133	63	161	-1	231	245	189	
23	37	51	79	65	163	149	135	191	93	-1	205	177	
50	64	78	232	92	22	36	190	134	176	106	-1	162	
84	126	42	70	154	56	140	168	182	98	28	252	-1	
