-1	126	70	112	84	98	168	196	56	182	252	14	154	238	
30	-1	58	2	184	86	72	100	16	44	114	142	226	156	
2	170	-1	184	226	16	142	128	100	86	44	240	254	268	
46	130	74	-1	60	102	172	88	270	18	144	214	116	256	
215	257	33	201	-1	75	159	19	131	173	89	103	47	145	
35	203	217	224	210	-1	49	42	238	28	231	21	259	252	
8	134	78	64	43	176	-1	57	85	99	29	155	22	183	
93	23	37	247	205	107	233	-1	177	9	261	135	149	219	
150	248	10	38	52	94	192	80	-1	220	66	164	234	206	
52	262	24	80	66	164	38	192	108	-1	248	206	178	234	
39	11	221	25	179	53	207	165	137	123	-1	109	193	81	
221	81	151	53	25	193	249	67	263	95	235	-1	39	179	
264	68	54	208	166	82	110	222	26	12	96	138	-1	124	
163	37	191	107	261	65	93	51	23	135	149	9	247	-1	
