-1	44	58	118	268	198	170	86	156	100	142	128	184	72	
212	-1	184	156	226	240	198	72	170	86	100	16	128	142	
254	268	-1	226	170	2	86	142	198	212	30	156	100	128	
30	2	72	-1	240	254	184	198	128	44	114	212	142	16	
17	31	45	87	-1	59	101	129	143	255	157	199	213	185	
48	146	160	6	230	-1	20	34	202	216	244	174	188	258	
35	53	6	77	176	92	-1	209	61	112	126	139	154	189	
21	7	49	91	63	105	133	-1	161	175	253	217	203	246	
218	22	120	36	8	134	148	232	-1	246	106	260	50	78	
9	191	107	163	51	65	205	261	93	-1	135	149	79	23	
39	165	179	25	81	11	249	53	193	235	-1	207	67	151	
25	249	39	11	67	109	235	81	165	221	95	-1	193	53	
4	12	14	61	117	250	224	109	242	229	259	264	-1	270	
177	58	205	100	107	44	254	170	212	198	219	226	86	-1	
