-1	1	15	43	57	85	141	155	113	127	169	253	183	197	
211	-1	57	113	43	169	99	183	85	197	239	225	253	267	
99	155	-1	127	141	183	113	197	169	211	85	29	225	239	
240	16	2	-1	30	58	212	170	156	86	72	142	100	184	
119	161	73	133	-1	147	203	269	255	175	189	87	241	17	
164	10	80	178	38	-1	157	3	31	73	213	129	234	255	
33	173	19	47	61	89	-1	187	243	103	5	75	131	145	
48	20	90	244	104	174	258	-1	76	132	34	146	202	216	
22	190	36	64	92	106	120	162	-1	50	204	176	218	232	
64	36	8	148	22	246	218	232	260	-1	78	162	120	204	
233	177	23	9	51	44	163	254	58	156	-1	198	268	100	
38	66	150	80	220	52	10	24	248	94	108	-1	136	262	
263	53	67	25	109	151	39	81	11	193	95	207	-1	249	
68	26	40	54	82	96	208	110	152	138	222	180	166	-1	
