-1	84	224	28	266	168	210	70	182	14	98	56	238	252	42	
196	-1	70	112	14	140	168	98	42	182	238	154	225	210	126	
156	2	-1	268	240	16	128	30	170	142	184	86	254	44	198	
143	255	101	-1	171	129	199	45	227	87	157	185	59	241	213	
200	88	60	74	-1	158	256	18	130	46	102	32	186	214	144	
103	47	117	33	229	-1	89	145	215	75	173	201	243	187	257	
20	34	48	55	69	181	-1	83	97	195	223	139	174	76	188	
7	161	259	189	245	63	217	-1	77	231	35	132	49	91	105	
92	190	106	64	50	134	232	176	-1	120	260	162	36	148	204	
107	65	23	9	135	205	93	149	219	-1	51	177	79	247	163	
177	149	93	23	9	107	135	205	79	191	-1	65	219	163	247	
191	219	149	51	93	79	205	23	247	261	233	-1	107	37	135	
75	54	12	152	117	26	264	138	124	215	89	229	-1	103	208	
138	26	110	68	152	12	236	222	54	82	264	166	194	-1	96	
152	264	82	138	222	54	110	194	26	236	166	12	68	180	-1	
