-1	47	5	271	103	89	215	19	173	75	187	159	201	229	
259	-1	147	77	175	105	189	119	63	161	231	273	21	217	
69	55	-1	41	83	97	132	13	244	188	111	174	272	202	
62	202	104	-1	146	132	244	174	230	6	160	216	90	188	
244	34	20	48	-1	118	230	160	272	132	216	202	188	6	
28	14	0	56	182	-1	126	70	84	266	140	168	210	238	
54	89	33	96	110	47	-1	138	5	152	173	75	159	19	
130	242	228	32	74	4	200	-1	256	214	144	88	102	270	
33	131	159	117	89	19	103	47	-1	145	201	187	215	75	
12	26	124	68	40	194	82	54	222	-1	166	110	180	250	
24	38	45	52	59	66	255	80	94	17	-1	101	31	87	
95	179	235	18	25	32	144	207	249	46	242	-1	228	130	
40	194	138	12	54	110	26	166	68	96	152	124	-1	82	
0	42	28	126	70	154	168	98	210	140	182	196	224	-1	
