-1	15	57	197	211	113	225	239	29	183	99	71	253	267	43	
86	-1	100	72	170	2	30	44	184	58	128	198	212	226	240	
156	268	-1	16	128	72	198	184	142	86	170	226	44	2	30	
4	144	242	-1	60	172	214	130	88	46	186	158	102	32	116	
75	19	257	271	-1	33	89	201	117	159	229	103	187	145	243	
48	139	6	20	195	-1	181	125	62	90	244	76	258	230	97	
62	104	132	76	174	118	-1	160	48	146	202	188	230	244	34	
24	220	38	66	3	52	94	-1	101	255	143	171	269	213	164	
220	108	80	262	24	234	150	206	-1	136	164	192	38	248	178	
39	165	25	109	53	207	263	179	67	-1	193	81	249	221	235	
179	207	67	25	151	109	137	249	11	95	-1	235	221	263	39	
264	40	12	54	166	222	250	110	96	152	124	-1	68	138	208	
82	26	264	208	12	152	166	194	124	138	54	180	-1	236	110	
167	153	209	181	69	41	111	13	55	125	83	27	97	-1	195	
172	158	214	228	46	186	270	60	74	102	256	88	200	130	-1	
