-1	153	167	139	181	195	97	62	160	188	174	132	83	
48	-1	76	90	62	174	202	104	216	272	132	146	188	
105	231	-1	133	203	245	273	35	189	161	91	175	147	
77	245	217	-1	259	147	231	21	105	175	189	203	161	
91	161	21	35	-1	231	217	133	175	147	49	189	245	
36	22	64	50	106	-1	190	78	204	134	162	218	260	
23	37	51	65	79	93	-1	163	135	261	149	107	177	
126	14	140	154	28	168	238	-1	224	196	210	266	182	
238	42	70	28	14	84	252	56	-1	266	98	210	196	
14	70	56	42	84	28	126	98	154	-1	168	182	224	
42	224	28	56	140	14	84	70	182	238	-1	126	266	
28	56	14	70	98	42	224	84	140	252	196	-1	238	
213	31	45	17	73	59	101	255	129	143	157	171	-1	
