-1	37	117	204	212	30	219	78	232	245	22	254	259	265	
164	-1	192	10	206	52	94	66	178	220	108	150	234	136	
53	81	-1	67	123	95	249	137	165	151	179	109	207	235	
95	263	221	-1	165	235	81	25	193	109	137	179	151	249	
11	25	39	53	-1	193	263	95	109	137	151	221	249	179	
109	249	11	39	81	-1	137	263	25	67	165	207	179	151	
42	14	28	210	70	56	-1	112	98	238	126	154	196	224	
16	142	226	86	156	170	184	-1	198	212	2	268	254	240	
59	45	255	3	31	129	171	73	-1	87	241	227	17	213	
73	59	20	17	3	185	102	45	269	-1	255	199	227	171	
88	32	60	74	18	46	8	130	102	158	-1	214	200	228	
4	18	32	46	60	74	88	102	158	130	144	-1	172	186	
46	4	74	60	88	102	130	32	186	144	270	242	-1	158	
26	75	47	33	103	5	19	40	12	54	68	82	96	-1	
