-1	141	85	239	1	253	127	169	57	113	155	197	267	225	43	
70	-1	98	84	154	224	112	56	252	126	168	238	196	182	210	
236	264	-1	68	208	26	250	110	40	152	222	180	138	124	194	
135	23	156	-1	51	37	219	2	233	30	212	226	93	170	247	
210	28	14	196	-1	42	84	238	70	224	56	98	182	112	168	
98	14	168	182	266	-1	210	154	126	140	84	112	238	56	196	
16	268	2	58	198	72	-1	184	226	240	142	170	30	100	254	
230	132	34	76	174	48	90	-1	20	244	146	104	62	216	188	
185	45	143	101	255	31	157	199	-1	3	241	213	171	269	87	
49	7	63	105	91	77	175	161	147	-1	217	189	35	273	231	
38	52	94	80	150	164	66	248	178	136	-1	234	206	108	262	
263	137	81	11	193	249	53	39	151	67	123	-1	165	221	207	
145	19	47	187	271	89	215	257	75	131	103	5	-1	229	159	
24	248	52	262	178	136	38	66	80	206	192	94	150	-1	164	
181	41	55	111	251	69	153	83	265	97	13	27	223	237	-1	
