-1	36	22	106	148	232	64	176	190	204	246	260	162	218	
135	-1	205	163	191	93	9	51	149	107	23	177	219	233	
264	40	-1	236	250	152	166	26	180	54	110	194	96	222	
40	68	124	-1	222	54	82	12	96	250	264	152	110	194	
12	82	68	26	-1	40	54	96	110	124	152	138	166	180	
27	13	83	167	195	-1	111	139	69	97	223	181	237	265	
198	72	2	16	142	254	-1	30	226	44	58	240	128	86	
2	212	184	86	240	44	268	-1	128	58	254	156	170	226	
32	88	46	158	214	186	102	200	-1	74	242	256	60	18	
18	186	130	4	200	228	158	144	172	-1	32	270	242	214	
47	201	-1	173	19	131	187	75	117	103	-1	215	145	271	
131	103	117	229	33	75	173	19	145	89	5	-1	47	187	
75	5	254	187	89	19	215	103	271	117	229	201	-1	33	
6	76	146	118	104	202	244	90	132	48	160	62	174	-1	
